country_code,country_name,indicator_id,indicator_name,index_id,index_name,value,year
#country+code,#country+name,#indicator+id,#indicator+name,#index+id,#index+name,#indicator+value+num,#date+year
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,134.737,1990
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,132.557,1991
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,136.358,1992
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,137.549,1993
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,135.082,1994
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,139.239,1995
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,132.043,1996
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,124.575,1997
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,125.278,1998
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,120.058,1999
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,118.816,2000
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,118.047,2001
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,115,2002
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,111.926,2003
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,106.216,2004
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,101.456,2005
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,95.034,2006
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,89.634,2007
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,85.221,2008
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,82.717,2009
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,79.643,2010
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,80.049,2011
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,81.5,2012
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,82.881,2013
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,84.501,2014
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,81.619,2015
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,78.814,2016
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,75.975,2017
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,72.782,2018
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,71.667,2019
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,70.275,2020
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,68.777,2021
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,68.33,2022
NPL,Nepal,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,67.169,2023
NPL,Nepal,assets,Assets (%),MPI,Multidimensional Poverty Index,7.706,2019
NPL,Nepal,assets,Assets (%),MPI,Multidimensional Poverty Index,7.019,2022
NPL,Nepal,child_mortality,Child mortality (%),MPI,Multidimensional Poverty Index,2.244,2019
NPL,Nepal,child_mortality,Child mortality (%),MPI,Multidimensional Poverty Index,2.594,2022
NPL,Nepal,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressuresâ€“adjusted Human Development Index,0.037,1990
NPL,Nepal,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressuresâ€“adjusted Human Development Index,0.051,1991
NPL,Nepal,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressuresâ€“adjusted Human Development Index,0.06,1992
NPL,Nepal,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressuresâ€“adjusted Human Development Index,0.066,1993
NPL,Nepal,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressuresâ€“adjusted Human Development Index,0.074,1994
NPL,Nepal,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressuresâ€“adjusted Human Development Index,0.104,1995
NPL,Nepal,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressuresâ€“adjusted Human Development Index,0.103,1996
